|autor|ciudades|conteo_retweets|empresas|fecha_creacion|palabras_clave|texto
3|arcticteach||0|EMCALI|Fri Sep 14 23:54:33 +0000 2018|Sin energia|Ridículo!!!! Emcali!!! Cómo así!?? Después de 17 horas sin energia en La Buitrera,  sólo pudieron proporcionar ener… https://t.co/nWg75qlrpQ
4|arcticteach||0|EMCALI|Fri Sep 14 23:57:24 +0000 2018|Sin energía|Emcali!! Que horror. Después de 17 horas sin energía en La Buitrera, sólo pudieron proporcionar luz por 1:45?  Ya c… https://t.co/j2fe2JmWFA
5|arcticteach||0|EMCALI|Fri Sep 14 23:59:01 +0000 2018|Sin energía|@EMCALIoficial Emcali!! Que horror. Después de 17 horas sin energía en La Buitrera, sólo pudieron proporcionar luz… https://t.co/KTiLN2zM3J
6|Jorso8||0|EMCALI|Sat Sep 15 00:11:12 +0000 2018|Sin energía|@EMCALIoficial ya vamos a completar 24 horas sin energía en muchos barrios del sur de Cali. Emcali no informa que s… https://t.co/wZyxvDVDW8
0|mimimazzanti||0|Codensa|Sat Sep 15 00:28:14 +0000 2018|Sin luz, Apagón|@CodensaEnergia @emserchia ¿Saben la causa apagón en Chía, Vereda Bojacá? Llevamos ya como 90 minutos sin luz. https://t.co/85CpReqIRx
1|Afernandezdorad|Bogota|0||Sat Sep 15 01:04:53 +0000 2018|Sin energia|@Bogota MIENTRAS ESTACIÓN TERMINAL SIN ENERGIA!!!
2|alejomave||1|EMCALI|Sat Sep 15 01:05:40 +0000 2018|Sin energía|RT @jagamboa83: Que vergüenza @EMCALIoficial  con una llovizna se queda la ciudad sin energía por más de medio día @elpaiscali , pesimo ser…
0|NadiaRiverosl||0|EMCALI|Sat Sep 15 01:19:37 +0000 2018|Sin energía|Señores @EMCALIoficial  qué pasa con la energía en ciudad jardín Carrara 102. Desde ayer sin energía.
1|cordoba_zarita||0|EMCALI|Sat Sep 15 01:20:07 +0000 2018|Sin energía|@EMCALIoficial  sin energía desde ayer, ciudad jardín.
2|faustinosilva2||0|EMCALI|Sat Sep 15 01:27:43 +0000 2018|Sin luz|@EMCALIoficial más de 12 horas sin luz en la comuna 22???????
3|Lykru||0|Codensa|Sat Sep 15 01:28:05 +0000 2018|Apagón|@CodensaEnergia Apagón Chia vereda fagua, sector Guanatá, que sucede?
4|Lykru||0|Codensa|Sat Sep 15 01:28:55 +0000 2018|Sin luz|@mimimazzanti @CodensaEnergia @emserchia Fagua, Guanatá sin luz también
5|davidkramirez||0|Electricaribe, Codensa|Sat Sep 15 01:32:46 +0000 2018|Sin luz|@CodensaEnergia ¿Qué clase de electricaribe es esto? Sin luz en Chía por más de una hora. https://t.co/xy7uDSlMws
6|Felipec35985117||0|Codensa|Sat Sep 15 01:35:40 +0000 2018|Corte de energia|@CodensaEnergia Otra vez corte de energia, ya es el cuarto.
0|Serrott_||0|Codensa|Sat Sep 15 02:26:32 +0000 2018|Sin luz|@rengifomelissa_ @CodensaEnergia Paila con esos cabrones, una vez me dejaron sin luz 7 días con los recibos al día,… https://t.co/y2Y56Z0DtU
1|AdrianaM_12||0|Codensa|Sat Sep 15 02:59:35 +0000 2018|Sin luz|@rengifomelissa_ @CodensaEnergia Nosotros estamos sin luz desde las 8am. 😡
2|AndreaCardonaKR||0|EMCALI|Sat Sep 15 03:06:42 +0000 2018|Sin energía|En esta ciudad medio llueve y se queda sin energía por partes, buena esa emcali
3|luciabastidasu|Bogota|0|Codensa|Sat Sep 15 03:17:22 +0000 2018|Sin luz|@CodensaEnergia sin luz pública por la calle 26 desde la Avenida Boyacá hasta el aeropuerto @Bogota
4|pachoflorez|Bogota|0|Codensa|Sat Sep 15 03:17:50 +0000 2018|Sin luz|@Citytv @CodensaEnergia @Bogota @teusaquillo13 llevamos mas de seis horas sin luz en ciudad salitre oriental, ni al… https://t.co/Jj7BYtGtjk
0|CardonaCom||0|EMCALI|Sat Sep 15 03:21:32 +0000 2018|Sin energia|@EMCALIoficial @EMCALIprensa2 señores Emcali nuevamente Barrio Alto Napooles sin Energia se fue hace 15 minutos no… https://t.co/WDAFXuNN88
0|jc_zuluaga||0|Codensa|Sat Sep 15 04:52:22 +0000 2018|Sin energía|Señores @Superservicios después de 7 horas sin energía reportando  (incidencia 21842456) @CodensaEnergia responde q… https://t.co/s3qdnFVDur
0|Lykru||1|Codensa|Sat Sep 15 10:19:35 +0000 2018|Sin luz|RT @elytapia440: @CodensaEnergia Nuevamente en Hacienda Fontanar en Chía se fue la luz desde las 6:30pm, llevamos 2 horas y media sin luz,…
1|Lykru||1|Electricaribe, Codensa|Sat Sep 15 10:19:38 +0000 2018|Sin luz|RT @davidkramirez: @CodensaEnergia ¿Qué clase de electricaribe es esto? Sin luz en Chía por más de una hora. https://t.co/xy7uDSlMws
0|ROBERTO_CANO||0|Codensa|Sat Sep 15 11:14:40 +0000 2018|Sin luz|@CodensaEnergia Hola, me podrían informar que pasa con el servicio en la 83 con autopista costado oriental? Desde ayer sin luz
0|NadiaRiverosl||0|EMCALI|Sat Sep 15 12:03:12 +0000 2018|Sin energía|Señores @EMCALIoficial  nuevamente sin energía en ciudad jardín.
1|NadiaRiverosl||0|EMCALI|Sat Sep 15 12:04:47 +0000 2018|Sin energía|Ciudad jardín amanece sin energía @ServiciosEmcali  @EMCALIoficial
2|cordoba_zarita||0|EMCALI|Sat Sep 15 12:07:46 +0000 2018|Sin energía|@ServiciosEmcali @EMCALIoficial otro día sin energía en ciudad jardín.
3|heyanabelle||0|Codensa|Sat Sep 15 12:19:15 +0000 2018|Sin electricidad|@CodensaEnergia es una vergüenza su servicio. La semana pasada nos tuvieron 4 días sin electricidad, esta semana ya… https://t.co/frYVb9vWcB
0|heyanabelle||0|Codensa|Sat Sep 15 12:36:06 +0000 2018|Sin electricidad|8 días sin electricidad en un periodo de 14 días. Ese es el excelente servicio de @CodensaEnergia. Ahora después de… https://t.co/VHZRRZ93Q7
1|anamaca82||0|EMCALI|Sat Sep 15 12:39:07 +0000 2018|Sin energia|@velascoluisf @elpaiscali @EMCALIoficial @AlcaldiaDeCali Nuevamente amanece sin energia Ciudad Jardin, señores… https://t.co/vayVnAbGzr
2|martheemilia||0|Electricaribe|Sat Sep 15 12:54:05 +0000 2018|Sin energía|@ElectricaribeSA @AtlanticoEmi Para variar.. Sector sin energía en Villa Campestre #HASTACUANDO
3|danilarotta21||0|Codensa|Sat Sep 15 12:57:00 +0000 2018|Sin luz|@CodensaEnergia ustedes son lo peor qué hay! Toda la NOCHE SIN LUZ por qué no se les da la gana de venir
4|PepeSanma|Cartagena|0||Sat Sep 15 13:07:27 +0000 2018|Sin electricidad|@AytoCartagenaES Fiesta la que voy a montar cuando vuelva la luz... Ya van más de 4 horas sin electricidad en algunas zonas de El Algar...
5|joshrsp||0|EMCALI|Sat Sep 15 13:15:21 +0000 2018|Sin luz|@EMCALIoficial ciudad jardin sigue sin luz😒😒
0|MikeMihaba||0|EMCALI|Sat Sep 15 13:23:11 +0000 2018|Sin electricidad|Llevamos ya dos días sin electricidad @EMCALIoficial en el barrio Ciudad Jardín y Campestre.   @TelepacificoTV… https://t.co/kW0UjhBpPe
1|arcticteach||0|EMCALI|Sat Sep 15 13:33:16 +0000 2018|Apagón|@EMCALIoficial @EnterateCali @TwiterosCali y La  Buitrera? Tercer apagón en dos días.  A partir de las 11 de la noc… https://t.co/uzRhMmC80C
2|MUYBUENASTARDES||0|Ebsa|Sat Sep 15 13:55:19 +0000 2018|Corte de luz|Alguien escuchó el perifonéo de la @EBSApuraenergia sobre el corte de luz?
3|JPDAKU||0|EMCALI|Sat Sep 15 13:58:59 +0000 2018|Sin energía|Hola amigos @EMCALIoficial en ciudad jardín estamos sin energía desde ayer, será que restablecerán en algún momento hoy?
4|MikeMihaba||0|EMCALI|Sat Sep 15 14:04:41 +0000 2018|Sin electricidad|@EMCALIoficial @EnterateCali @TwiterosCali Y que con Ciudad Jardín y Campestre? Llenamos ya más de dos días sin electricidad!
5|MikeMihaba||0|EMCALI|Sat Sep 15 14:08:10 +0000 2018|Sin electricidad|@EMCALIoficial @EnterateCali @TwiterosCali Llevamos dos días sin electricidad en el barrio detrás del Holguines.
6|CABOSYPUNTAS||0|Ebsa|Sat Sep 15 14:09:54 +0000 2018|Corte de energía|Corte de Energía abrupto como cadi todos los días en Barrio la Fuente 2a Etapa sin previo aviso. A la EBSA si la vi… https://t.co/8eLvEi4O3S
7|gus7173||0|Ebsa|Sat Sep 15 14:13:38 +0000 2018|Sin energía|@EBSApuraenergia SRS ebsa bn día sin energía en cómbita porfavor su amable atención grcs
8|laregionalnet||0|Electricaribe|Sat Sep 15 14:14:20 +0000 2018|Sin luz|Por mantenimiento de Electricaribe, 35 barrios de Valledupar sin luz el domingo de Amor y Amistad… https://t.co/t2MhXZyElC
9|MiguelMaceaM||0|Electricaribe|Sat Sep 15 14:18:17 +0000 2018|Sin luz|Por mantenimiento de Electricaribe, 35 barrios de Valledupar sin luz el domingo de Amor y Amistad https://t.co/I1eliCqXlO vía @laregionalnet
0|isamunoz07||0|EMCALI|Sat Sep 15 14:51:11 +0000 2018|Sin energía|@EMCALIoficial @EnterateCali Necesitamos energía!! Restablezcan el servicio! Llevamos dos días sin energía y nadie dice nada!
1|sabath998||1|EMCALI|Sat Sep 15 15:00:04 +0000 2018|Sin energía|RT @Jorso8: @EMCALIoficial ya vamos a completar 24 horas sin energía en muchos barrios del sur de Cali. Emcali no informa que sucede. Sus t…
0|arcticteach||0|EMCALI|Sat Sep 15 16:08:13 +0000 2018|Sin energia|@EMCALIoficial @TelepacificoTV @EnterateCali @CaliSosVos @TwiterosCali Sin energia
0|arcticteach||0|EMCALI|Sat Sep 15 16:43:13 +0000 2018|Sin energía|@EMCALIoficial Espero que haya uno en La Buitrera donde sufrimos 32 horas sin energía en los últimos 36.
1|jorenherc||0|EMCALI|Sat Sep 15 16:52:00 +0000 2018|Sin energía|@elcorrillodemao de Mao estamos sin energía en el alto Jordan desde anoche,  ayuda @EMCALIoficial
2|jc_zuluaga||0|Codensa|Sat Sep 15 17:15:46 +0000 2018|Corte de energía|@Superservicios inaudito que @CodensaEnergia someta a más de 100 usuarios a 15 horas de corte de energía sin atenci… https://t.co/KeNl2wz8gR
0|johanvar19||4|Electricaribe|Sat Sep 15 18:15:13 +0000 2018|Sin energía|RT @alex86010: Desde ya un gran aplauso para @ElectricaribeSA, ya me enteré que este domingo nuevamente el barrio Gaitan sin energía eléctr…
0|SergioGonzalezF||1|Ebsa|Sat Sep 15 18:32:54 +0000 2018|Corte de energía|@EBSApuraenergia corte de energía nos está afectando de manera grave en Chivata. Cta. 907746241
1|QReinaldocruz||1|EMCALI|Sat Sep 15 19:11:21 +0000 2018|Sin energía|RT @arcticteach: @EMCALIoficial Espero que haya uno en La Buitrera donde sufrimos 32 horas sin energía en los últimos 36.
2|BertaziniVania||0|Codensa|Sat Sep 15 19:18:26 +0000 2018|Sin luz|@CodensaEnergia hola! En El barrio las villas estamos sin luz 😢
0|CABOSYPUNTAS||1|Ebsa|Sat Sep 15 19:32:06 +0000 2018|Corte de energía|RT @CABOSYPUNTAS: Corte de Energía abrupto como cadi todos los días en Barrio la Fuente 2a Etapa sin previo aviso. A la EBSA si la vigila a…
1|loriaran||0|EMCALI|Sat Sep 15 20:12:08 +0000 2018|Sin energía|@EMCALIoficial Jueves 6 pm hasta Viernes 12 m sin energía, Viernes 10:30 pm hasta Sábado 2:30 pm sin energía y esto por la lluvia?
0|LancherosEdwin||0|Codensa|Sat Sep 15 21:15:30 +0000 2018|Sin luz|@CodensaEnergia jajaja a las 12 am ,no se sean ridículos,estamos sin luz desde las 10 am,son casi las 5 pm ,y el ti… https://t.co/sI5uT8jGwz
