|autor|ciudades|conteo_retweets|empresas|fecha_creacion|palabras_clave|texto
0|Luisjoargue||4|Electricaribe|Sun Sep 16 15:36:26 +0000 2018|Sin luz|RT @rochilyn_: @AlejandroChar @jorgecura1070 ni el domingo nos perdonan, sin agua y sin luz en Adelita de Char la Playa @ElectricaribeSA y…
1|caancaar||0|Electricaribe|Sun Sep 16 15:55:39 +0000 2018|Sin luz|MALPARIDOS mil veces MALPARIDOS no saben que es pasar el guayabo sin luz @ElectricaribeSA
2|AhojAdriana||0|Codensa|Sun Sep 16 16:04:54 +0000 2018|Sin energía|@CodensaEnergia desde el día de ayer estamos sin energía y en los cortes programados no aparece. Pueden confírmame cuál es el inconveniente
3|CardonaCom||0|EMCALI|Sun Sep 16 16:12:36 +0000 2018|Sin energia|@EMCALIoficial @EmcaliTelco @EMCALIprensa2  Buen dia  sector Alto Napoles sin Energia todas las noches la quitan y… https://t.co/nolEfl6CWy
4|CardonaCom||1|EMCALI|Sun Sep 16 16:12:44 +0000 2018|Sin energia|RT @CardonaCom: @EMCALIoficial @EmcaliTelco @EMCALIprensa2  Buen dia  sector Alto Napoles sin Energia todas las noches la quitan y  llega a…
0|Chell_J26|Barranquilla|0|Electricaribe|Sun Sep 16 17:06:01 +0000 2018|Sin luz|Sres @ElectricaribeSA 5 horas sin luz en Brr Adelita de Char/La Playa #Barranquilla Situación diaria!! Cuánto más h… https://t.co/SaS2bK4cqy
1|rochilyn_|Barranquilla|1|Electricaribe|Sun Sep 16 17:17:32 +0000 2018|Sin luz|RT @Chell_J26: Sres @ElectricaribeSA 5 horas sin luz en Brr Adelita de Char/La Playa #Barranquilla Situación diaria!! Cuánto más hay que es…
0|albertoruiz07||0|Electricaribe|Sun Sep 16 21:11:35 +0000 2018|Sin luz|Sin luz en el corredor universitario...@Gobatlantico @HENRYFOREROJ @ElectricaribeSA
1|cristifermosel||0|Emsa|Sun Sep 16 21:13:48 +0000 2018|Corte de luz|@EDEMSAinforma corte de luz en zona de villa nueva, calle Tito Laciar. La luz vuelve x un segundo y se corta nuevamente...
0|BuitragoRicardo||0|Electricaribe|Sun Sep 16 23:07:31 +0000 2018|Sin energía|En mitad de partido de @JuniorClubSA @ElectricaribeSA nos deja sin energía
1|JuanTartaruge|Armenia|0||Sun Sep 16 23:34:13 +0000 2018|Sin luz|@EpecOficial Armenia al 1400 barrio gral.paz...nuevamente sin luz...se cortó 5 veces hoy!!
0|QuintaCoquimbo|Pereira|0||Sun Sep 16 23:51:09 +0000 2018|Corte de luz|@gary_morgado @CoquimboPereira @tvnredcoquimbo Corte de luz afecta a #Pampilla de #Coquimbo y sectores aledaños, de… https://t.co/ay8PhcwJ5s
1|edma____|Pereira|5||Mon Sep 17 00:03:42 +0000 2018|Sin luz|RT @jarid_pereira: no jodas to el mundo sin luz
0|lafemme072||5|EMCALI|Mon Sep 17 01:34:42 +0000 2018|Sin energía|RT @JBuitrera: Nuevamente SIN ENERGÍA EN EL B/NÁPOLES YA ES EL COLMO POR LOS ARREGLOS TEMPORALES QUE REALIZA @EMCALIoficial a las 21:00 hor…
0|deerecomunsas||0|Electricaribe|Mon Sep 17 11:52:24 +0000 2018|Sin energia|@ElectricaribeSA, @AtlanticoEmi, @jorgecura1070, Hoy completamos 11 días sin energia en nuestro local comercial en… https://t.co/nMsyIZuIet
1|deerecomunsas||1|Electricaribe|Mon Sep 17 11:55:41 +0000 2018|Sin energia|RT @deerecomunsas: @ElectricaribeSA, @AtlanticoEmi, @jorgecura1070, Hoy completamos 11 días sin energia en nuestro local comercial en el ce…
0|tuliomillo||0|Emsa|Mon Sep 17 13:05:50 +0000 2018|Sin energía|@mantineon En #ElBermejo estamos sin energía eléctrica y @EDEMSAinforma NO responde... ¿Nos podes ayudar con el reclamo?
